table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
North Dakota County,2020,2021,2022
.Adams County,"2,187","2,152","2,115"
.Barnes County ,"10,847","10,812","10,758"
.Benson County ,"5,931","5,778","5,770"
.Billings County ,933,961,"1,018"
.Bottineau County ,"6,384","6,437","6,376"
.Bowman County ,"2,984","2,902","2,894"
.Burke County ,"2,208","2,173","2,155"
.Burleigh County ,"98,594","98,967","99,280"
.Cass County ,"184,874","189,293","192,734"
.Cavalier County ,"3,694","3,664","3,597"
.Dickey County ,"4,971","4,905","4,923"
.Divide County ,"2,212","2,191","2,187"
.Dunn County ,"4,100","4,025","4,015"
.Eddy County ,"2,320","2,322","2,314"
.Emmons County ,"3,293","3,262","3,250"
.Foster County ,"3,388","3,362","3,378"
.Golden Valley County ,"1,720","1,757","1,744"
.Grand Forks County ,"73,126","72,512","72,413"
.Grant County ,"2,289","2,311","2,243"
.Griggs County ,"2,297","2,284","2,252"
.Hettinger County ,"2,467","2,422","2,406"
.Kidder County ,"2,387","2,361","2,393"
.LaMoure County ,"4,101","4,095","4,098"
.Logan County ,"1,890","1,882","1,855"
.McHenry County ,"5,311","5,239","5,189"
.McIntosh County ,"2,511","2,506","2,475"
.McKenzie County ,"14,776","13,851","13,908"
.McLean County ,"9,756","9,794","9,824"
.Mercer County ,"8,348","8,330","8,333"
.Morton County ,"33,313","33,560","33,710"
.Mountrail County ,"9,807","9,593","9,290"
.Nelson County ,"2,993","3,044","2,995"
.Oliver County ,"1,869","1,873","1,856"
.Pembina County ,"6,823","6,775","6,763"
.Pierce County ,"3,968","3,943","3,942"
.Ramsey County ,"11,573","11,598","11,515"
.Ransom County ,"5,690","5,667","5,640"
.Renville County ,"2,273","2,262","2,220"
.Richland County ,"16,527","16,570","16,580"
.Rolette County ,"12,195","12,086","11,933"
.Sargent County ,"3,836","3,819","3,795"
.Sheridan County ,"1,267","1,270","1,295"
.Sioux County ,"3,882","3,759","3,711"
.Slope County ,695,686,672
.Stark County ,"33,828","33,059","32,803"
.Steele County ,"1,787","1,798","1,788"
.Stutsman County ,"21,556","21,591","21,487"
.Towner County ,"2,147","2,133","2,064"
.Traill County ,"7,988","7,990","7,958"
.Walsh County ,"10,524","10,479","10,438"
.Ward County ,"69,923","69,437","68,870"
.Wells County ,"3,971","3,905","3,930"
.Williams County ,"41,184","38,487","38,109"
